player_id,full_name,birth_date,age,nationality,primary_position
jobe_bellingham,Jobe Bellingham,9/23/05,20,England,Midfielder
julian_brandt,Julian Brandt,5/2/96,30,Germany,Midfielder
emre_can,Emre Can,1/12/94,32,Germany,Midfielder
carney_chukwuemeka,Carney Chukwuemeka,10/20/03,22,Austria,Midfielder
samuele_inacio,Samuele Inacio,4/2/08,18,Italy,Midfielder
felix_nmecha,Felix Nmecha,10/10/00,25,Germany,Midfielder
salih_ozcan,Salih Ozcan,1/11/98,28,Turkey,Midfielder
marcel_sabitzer,Marcel Sabitzer,3/17/94,32,Austria,Midfielder
daniel_svensson,Daniel Svensson,2/12/02,24,Sweden,Midfielder
karim_adeyemi,Karim Adeyemi,1/18/02,24,Germany,Forward
mathis_albert,Mathis Albert,5/21/09,17,USA,Forward
maximilian_beier,Maximilian Beier,10/17/02,23,Germany,Forward
serhou_guirassy,Serhou Guirassy,3/12/96,30,Guinea,Forward
fabio_silva,Fabio Silva,7/19/02,23,Portugal,Forward
peter_gulacsi,Peter Gulacsi,5/6/90,36,Hungary,Goalkeeper
maarten_vandevoordt,Maarten Vandevoordt,2/26/02,24,Belgium,Goalkeeper
leopold_zingerle,Leopold Zingerle,4/10/94,32,Germany,Goalkeeper
el_chadaille_bitshiabu,El Chadaille Bitshiabu,5/16/05,21,France,Defender
max_finkgrafe,Max Finkgrafe,3/27/04,22,Germany,Defender
benjamin_henrichs,Benjamin Henrichs,2/23/97,29,Germany,Defender
lukas_klostermann,Lukas Klostermann,6/3/96,29,Germany,Defender
castello_lukeba,Castello Lukeba,12/17/02,23,France,Defender
kosta_nedeljkovic,Kosta Nedeljkovic,12/16/05,20,Serbia,Defender
willi_orban,Willi Orban,11/3/92,33,Hungary,Defender
david_raum,David Raum,4/22/98,28,Germany,Defender
ridle_baku,Ridle Baku,4/8/98,28,Germany,Midfielder
christoph_baumgartner,Christoph Baumgartner,8/1/99,26,Austria,Midfielder
andrija_maksimovic,Andrija Maksimovic,6/5/07,18,Serbia,Midfielder
assan_ouedraogo,Assan Ouedraogo,5/9/06,20,Germany,Midfielder
xaver_schlager,Xaver Schlager,9/28/97,28,Austria,Midfielder
nicolas_seiwald,Nicolas Seiwald,5/4/01,25,Austria,Midfielder
johan_bakayoko,Johan Bakayoko,4/20/03,23,Belgium,Forward
ezechiel_banzuzi,Ezechiel Banzuzi,2/16/05,21,Netherlands,Forward
yan_diomande,Yan Diomande,11/14/06,19,Ivory Coast,Forward
tidiam_gomis,Tidiam Gomis,8/8/06,19,France,Forward
brajan_gruda,Brajan Gruda,5/31/04,21,Germany,Forward
conrad_harder,Conrad Harder,4/7/05,21,Denmark,Forward
samba_konate,Samba Konate,2/27/09,17,France,Forward
antonio_nusa,Antonio Nusa,4/17/05,21,Norway,Forward
romulo_cardoso,Romulo Cardoso,2/8/02,24,Brazil,Forward
alexander_nubel,Alexander Nubel,9/30/96,29,Germany,Goalkeeper
fabian_bredlow,Fabian Bredlow,3/2/95,31,Germany,Goalkeeper
stefan_drljaca,Stefan Drljaca,4/20/99,27,Germany,Goalkeeper
florian_hellstern,Florian Hellstern,10/18/07,18,Germany,Goalkeeper
ameen_al_dakhil,Ameen Al Dakhil,3/6/02,24,Belgium,Defender
lorenz_assignon,Lorenz Assignon,6/22/00,25,France,Defender
jeff_chabot,Jeff Chabot,2/12/98,28,Germany,Defender
ramon_hendriks,Ramon Hendriks,7/18/01,24,Netherlands,Defender
maximilian_herwerth,Maximilian Herwerth,2/9/06,19,Germany,Defender
luca_jaquez,Luca Jaquez,6/2/03,22,Switzerland,Defender
finn_jeltsch,Finn Jeltsch,7/17/06,19,Germany,Defender
maximilian_mittelstadt,Maximilian Mittelstadt,3/18/97,29,Germany,Defender
nikolas_nartey,Nikolas Nartey,2/22/00,26,Denmark,Defender
pascal_stenzel,Pascal Stenzel,3/20/96,30,Germany,Defender
josha_vagnoman,Josha Vagnoman,12/11/00,25,Germany,Defender
dan_axel_zagadou,Dan-Axel Zagadou,6/3/99,26,France,Defender
chema_andres,Chema Andres,4/25/05,21,Spain,Midfielder
mirza_catovic,Mirza Catovic,5/1/07,19,Germany,Midfielder
bilal_el_khannouss,Bilal El Khannouss,5/10/04,22,Morocco,Midfielder
lazar_jovanovic,Lazar Jovanovic,11/30/06,19,Serbia,Midfielder
atakan_karazor,Atakan Karazor,10/13/96,29,Turkey,Midfielder
christopher_olivier,Christopher Olivier,1/31/06,20,Austria,Midfielder
lauri_penna,Lauri Penna,7/2/06,19,Germany,Midfielder
yanik_spalt,Yanik Spalt,9/3/07,18,Austria,Midfielder
angelo_stiller,Angelo Stiller,4/4/01,25,Germany,Midfielder
badredine_bouanani,Badredine Bouanani,12/8/04,21,Algeria,Forward
ermedin_demirovic,Ermedin Demirovic,3/25/98,28,Bosnia and Herzegovina,Forward
justin_diehl,Justin Diehl,11/27/04,21,Germany,Forward
chris_fuhrich,Chris Fuhrich,1/9/98,28,Germany,Forward
jeremy_arevalo,Jeremy Arevalo,3/19/05,21,Ecuador,Forward
jamie_leweling,Jamie Leweling,2/26/01,25,Germany,Forward
tiago_tomas,Tiago Tomas,6/16/02,23,Portugal,Forward
deniz_undav,Deniz Undav,7/19/96,29,Germany,Forward
oliver_baumann,Oliver Baumann,6/2/90,35,Germany,Goalkeeper
luca_philipp,Luca Philipp,11/28/00,25,Germany,Goalkeeper
kevin_akpoguma,Kevin Akpoguma,4/19/95,31,Nigeria,Defender
bernardo,Bernardo,5/14/95,31,Brazil,Defender
vladimir_coufal,Vladimir Coufal,8/22/92,33,Czech Republic,Defender
kelven_frees,Kelven Frees,2/3/05,21,Germany,Defender
valentin_gendrey,Valentin Gendrey,6/21/00,25,France,Defender
albian_hajdari,Albian Hajdari,5/18/03,23,Kosovo,Defender
robin_hranac,Robin Hranac,1/29/00,26,Czech Republic,Defender
ozan_kabak,Ozan Kabak,3/25/00,26,Turkey,Defender
leon_avdullahu,Leon Avdullahu,2/23/04,22,Kosovo,Midfielder
ihlas_bebou,Ihlas Bebou,4/23/94,32,Togo,Midfielder
wouter_burger,Wouter Burger,2/16/01,25,Netherlands,Midfielder
muhammed_damar,Muhammed Damar,4/9/04,22,Germany,Midfielder
luka_djuric,Luka Djuric,6/18/03,22,Bosnia and Herzegovina,Midfielder
valentin_lassig,Valentin Lassig,3/3/03,23,Germany,Midfielder
florian_micheler,Florian Micheler,5/17/05,21,Austria,Midfielder
alexander_prass,Alexander Prass,5/26/01,25,Austria,Midfielder
grischa_promel,Grischa Promel,1/9/95,31,Germany,Midfielder
bazoumana_toure,Bazoumana Toure,3/2/06,20,Ivory Coast,Midfielder
fisnik_asllani,Fisnik Asllani,8/8/02,23,Kosovo,Forward
cole_campbell,Cole Campbell,2/20/06,20,USA,Forward
yannick_eduardo,Yannick Eduardo,1/23/06,20,Czech Republic,Forward
adam_hlozek,Adam Hlozek,7/25/02,23,Czech Republic,Forward
andrej_kramaric,Andrej Kramaric,6/19/91,34,Croatia,Forward
tim_lemperle,Tim Lemperle,2/5/02,24,Germany,Forward
max_moerstedt,Max Moerstedt,1/15/06,20,Germany,Forward
janis_blaswich,Janis Blaswich,5/2/91,35,Germany,Goalkeeper
mark_flekken,Mark Flekken,6/13/93,32,Netherlands,Goalkeeper
niklas_lomb,Niklas Lomb,7/28/93,32,Germany,Goalkeeper
jonas_omlin,Jonas Omlin,1/10/94,32,Switzerland,Goalkeeper
jesper_schlich,Jesper Schlich,7/12/07,18,Germany,Goalkeeper
arthur,Arthur,3/17/03,23,Brazil,Defender
loic_bade,Loic Bade,4/11/00,26,France,Defender
alejandro_grimaldo,Alejandro Grimaldo,9/20/95,30,Spain,Defender
tim_oermann,Tim Oermann,10/6/03,22,Germany,Defender
jarell_quansah,Jarell Quansah,1/29/03,23,England,Defender
edmond_tapsoba,Edmond Tapsoba,2/2/99,27,Burkina Faso,Defender
lucas_vazquez,Lucas Vazquez,7/1/91,34,Spain,Defender
robert_andrich,Robert Andrich,9/22/94,31,Germany,Midfielder
montrell_culbreath,Montrell Culbreath,8/29/07,18,Germany,Midfielder
ezequiel_fernandez,Ezequiel Fernandez,7/25/02,23,Argentina,Midfielder
aleix_garcia,Aleix Garcia,6/28/97,28,Spain,Midfielder
jonas_hofmann,Jonas Hofmann,7/14/92,33,Germany,Midfielder
ibrahim_maza,Ibrahim Maza,11/24/05,20,Algeria,Midfielder
jeremiah_mensah,Jeremiah Mensah,2/21/08,18,Germany,Midfielder
exequiel_palacios,Exequiel Palacios,10/5/98,27,Argentina,Midfielder
axel_tape,Axel Tape,8/10/07,18,France,Midfielder
nathan_tella,Nathan Tella,7/5/99,26,Nigeria,Midfielder
malik_tillman,Malik Tillman,5/28/02,24,USA,Midfielder
eliesse_ben_seghir,Eliesse Ben Seghir,2/16/05,21,Morocco,Forward
christian_kofane,Christian Kofane,7/26/06,19,Cameroon,Forward
ernest_poku,Ernest Poku,1/28/04,22,Netherlands,Forward
patrik_schick,Patrik Schick,1/24/96,30,Czech Republic,Forward
martin_terrier,Martin Terrier,3/4/97,29,France,Forward
noah_atubolu,Noah Atubolu,5/25/02,24,Germany,Goalkeeper
florian_muller,Florian Muller,11/13/97,28,Germany,Goalkeeper
matthias_ginter,Matthias Ginter,1/19/94,32,Germany,Defender
christian_gunter,Christian Gunter,2/28/93,33,Germany,Defender
anthony_jung,Anthony Jung,11/3/91,34,Germany,Defender
lukas_kubler,Lukas Kubler,8/30/92,33,Germany,Defender
philipp_lienhart,Philipp Lienhart,7/11/96,29,Austria,Defender
jordy_makengo,Jordy Makengo,8/3/01,24,France,Defender
bruno_ogbus,Bruno Ogbus,12/17/05,20,Switzerland,Defender
max_rosenfelder,Max Rosenfelder,2/10/03,23,Germany,Defender
philipp_treu,Philipp Treu,12/3/00,25,Germany,Defender
jan_niklas_beste,Jan-Niklas Beste,1/4/99,27,Germany,Midfielder
maximilian_eggestein,Maximilian Eggestein,12/8/96,29,Germany,Midfielder
vincenzo_grifo,Vincenzo Grifo,4/7/93,33,Italy,Midfielder
nicolas_hofler,Nicolas Hofler,3/9/90,36,Germany,Midfielder
johan_manzambi,Johan Manzambi,10/14/05,20,Switzerland,Midfielder
patrick_osterhage,Patrick Osterhage,2/1/00,26,Germany,Midfielder
maximilian_philipp,Maximilian Philipp,3/1/94,32,Germany,Midfielder
rouven_tarnutzer,Rouven Tarnutzer,7/24/07,18,Switzerland,Midfielder
lucas_holer,Lucas Holer,7/10/94,31,Germany,Forward
cyriaque_irie,Cyriaque Irie,6/20/05,20,Burkina Faso,Forward
igor_matanovic,Igor Matanovic,3/31/03,23,Croatia,Forward
derry_scherhant,Derry Scherhant,11/10/02,23,Germany,Forward
yuito_suzuki,Yuito Suzuki,10/25/01,24,Japan,Forward
kaua_santos,Kaua Santos,4/11/03,23,Brazil,Goalkeeper
michael_zetterer,Michael Zetterer,7/12/95,30,Germany,Goalkeeper
jens_grahl,Jens Grahl,9/22/88,37,Germany,Goalkeeper
aurele_amenda,Aurele Amenda,7/31/03,22,Switzerland,Defender
elias_baum,Elias Baum,10/26/05,20,Germany,Defender
nathaniel_brown,Nathaniel Brown,6/16/03,22,Germany,Defender
timothy_chandler,Timothy Chandler,3/29/90,36,USA,Defender
nnamdi_collins,Nnamdi Collins,1/10/04,22,Germany,Defender
robin_koch,Robin Koch,7/17/96,29,Germany,Defender
rasmus_kristensen,Rasmus Kristensen,7/11/97,28,Denmark,Defender
arthur_theate,Arthur Theate,5/25/00,26,Belgium,Defender
love_arrhov,Love Arrhov,5/17/08,18,Sweden,Midfielder
jean_matteo_bahoya,Jean-Matteo Bahoya,5/7/05,21,France,Midfielder
mahmoud_dahoud,Mahmoud Dahoud,1/1/96,30,Syria,Midfielder
ritsu_doan,Ritsu Doan,6/16/98,27,Japan,Midfielder
mario_gotze,Mario Gotze,6/3/92,33,Germany,Midfielder
oscar_hojlund,Oscar Hojlund,1/4/05,21,Denmark,Midfielder
hugo_larsson,Hugo Larsson,6/27/04,21,Sweden,Midfielder
ellyes_skhiri,Ellyes Skhiri,5/10/95,31,Tunisia,Midfielder
can_yilmaz_uzun,Can Yilmaz Uzun,11/11/05,20,Turkey,Midfielder
marvin_dills,Marvin Dills,4/25/07,19,USA,Midfielder
ayoube_amaimouni,Ayoube Amaimouni,11/30/04,21,Morocco,Forward
michy_batshuayi,Michy Batshuayi,10/2/93,32,Belgium,Forward
jonathan_burkardt,Jonathan Burkardt,7/11/00,25,Germany,Forward
fares_chaibi,Fares Chaibi,11/28/02,23,Algeria,Forward
younes_ebnoutalib,Younes Ebnoutalib,9/13/03,22,Germany,Forward
arnaud_kalimuendo,Arnaud Kalimuendo,1/20/02,24,France,Forward
ansgar_knauff,Ansgar Knauff,1/10/02,24,Germany,Forward
alexander_staff,Alexander Staff,6/12/08,17,Germany,Forward
finn_dahmen,Finn Dahmen,3/27/98,28,Germany,Goalkeeper
daniel_klein,Daniel Klein,3/13/01,25,Germany,Goalkeeper
nediljko_labrovic,Nediljko Labrovic,10/19/99,26,Croatia,Goalkeeper
arthur_chaves,Arthur Chaves,1/29/01,25,Brazil,Defender
noahkai_banks,Noahkai Banks,12/1/06,19,USA,Defender
dimitrios_giannoulis,Dimitrios Giannoulis,10/17/95,30,Greece,Defender
jeffrey_gouweleeuw,Jeffrey Gouweleeuw,7/10/91,34,Netherlands,Defender
chrislain_matsima,Chrislain Matsima,5/15/02,24,France,Defender
mads_pedersen,Mads Pedersen,9/1/96,29,Denmark,Defender
keven_schlotterbeck,Keven Schlotterbeck,4/28/97,29,Germany,Defender
tim_schnitzer,Tim Schnitzer,2/7/08,18,Germany,Defender
oliver_sorg,Oliver Sorg,7/31/07,18,Austria,Defender
marius_wolf,Marius Wolf,5/27/95,31,Germany,Defender
cedric_zesiger,Cedric Zesiger,6/24/98,27,Switzerland,Defender
robin_fellhauer,Robin Fellhauer,1/21/98,28,Germany,Midfielder
ismael_gharbi,Ismael Gharbi,4/10/04,22,Tunisia,Midfielder
kristijan_jakic,Kristijan Jakic,5/14/97,29,Croatia,Midfielder
yannik_keitel,Yannik Keitel,2/15/00,26,Germany,Midfielder
mert_komur,Mert Komur,7/17/05,20,Germany,Midfielder
han_noah_massengo,Han-Noah Massengo,7/7/01,24,France,Midfielder
elvis_rexhbecaj,Elvis Rexhbecaj,11/1/97,28,Kosovo,Midfielder
alexis_claude_maurice,Alexis Claude-Maurice,6/6/98,27,France,Forward
michael_gregoritsch,Michael Gregoritsch,4/18/94,32,Austria,Forward
anton_kade,Anton Kade,1/17/04,22,Germany,Forward
uchenna_ogundu,Uchenna Ogundu,5/12/06,20,Nigeria,Forward
rodrigo_ribeiro,Rodrigo Ribeiro,4/28/05,21,Portugal,Forward
fabian_rieder,Fabian Rieder,2/16/02,24,Switzerland,Forward
daniel_batz,Daniel Batz,1/12/91,35,Germany,Goalkeeper
lasse_riess,Lasse Riess,7/27/01,24,Germany,Goalkeeper
robin_zentner,Robin Zentner,10/28/94,31,Germany,Goalkeeper
stefan_bell,Stefan Bell,8/24/91,34,Germany,Defender
anthony_caci,Anthony Caci,7/1/97,28,France,Defender
andreas_hanche_olsen,Andreas Hanche-Olsen,1/17/97,29,Norway,Defender
maxim_leitsch,Maxim Leitsch,5/18/98,28,Germany,Defender
lennard_maloney,Lennard Maloney,10/8/99,26,USA,Defender
phillipp_mwene,Phillipp Mwene,1/29/94,32,Austria,Defender
stefan_posch,Stefan Posch,5/14/97,29,Austria,Defender
kacper_potulski,Kacper Potulski,10/19/07,18,Poland,Defender
nikolas_veratschnig,Nikolas Veratschnig,1/24/03,23,Austria,Defender
silvan_widmer,Silvan Widmer,3/5/93,33,Switzerland,Defender
danny_da_costa,Danny da Costa,7/13/93,32,Germany,Defender
nadiem_amiri,Nadiem Amiri,10/27/96,29,Germany,Midfielder
sota_kawasaki,Sota Kawasaki,7/30/01,24,Japan,Midfielder
dominik_kohr,Dominik Kohr,1/31/94,32,Germany,Midfielder
jae_sung_lee,Jae-Sung Lee,8/10/92,33,South Korea,Midfielder
paul_nebel,Paul Nebel,10/10/02,23,Germany,Midfielder
kaishu_sano,Kaishu Sano,12/30/00,25,Japan,Midfielder
sheraldo_becker,Sheraldo Becker,2/9/95,31,Suriname,Forward
william_boving,William Boving,3/1/03,23,Denmark,Forward
benedict_hollerbach,Benedict Hollerbach,5/17/01,25,Germany,Forward
fabio_moreno_fell,Fabio Moreno Fell,6/4/00,25,Germany,Forward
armindo_sieb,Armindo Sieb,2/17/03,23,Germany,Forward
silas,Silas,10/6/98,27,DR Congo,Forward
phillip_tietz,Phillip Tietz,7/9/97,28,Germany,Forward
nelson_weiper,Nelson Weiper,3/17/05,21,Germany,Forward
carl_klaus,Carl Klaus,1/16/94,32,Germany,Goalkeeper
matheo_raab,Matheo Raab,12/18/98,27,Germany,Goalkeeper
frederik_ronnow,Frederik Ronnow,8/4/92,33,Denmark,Goalkeeper
tom_wisbereit,Tom Wisbereit,11/17/07,18,Germany,Goalkeeper
danilho_doekhi,Danilho Doekhi,6/30/98,27,Netherlands,Defender
josip_juranovic,Josip Juranovic,8/16/95,30,Croatia,Defender
derrick_kohn,Derrick Kohn,2/4/99,27,Ghana,Defender
diogo_leite,Diogo Leite,1/23/99,27,Portugal,Defender
stanley_nsoki,Stanley Nsoki,4/9/99,27,France,Defender
leopold_querfeld,Leopold Querfeld,12/20/03,22,Austria,Defender
tom_rothe,Tom Rothe,10/29/04,21,Germany,Defender
christopher_trimmel,Christopher Trimmel,2/24/87,39,Austria,Defender
andrik_markgraf,Andrik Markgraf,3/7/06,20,Germany,Defender
janik_haberer,Janik Haberer,4/2/94,32,Germany,Midfielder
woo_yeong_jeong,Woo-Yeong Jeong,9/20/99,26,South Korea,Midfielder
aljoscha_kemlein,Aljoscha Kemlein,8/2/04,21,Germany,Midfielder
rani_khedira,Rani Khedira,1/27/94,32,Tunisia,Midfielder
alex_kral,Alex Kral,5/19/98,28,Czech Republic,Midfielder
andras_schafer,Andras Schafer,4/13/99,27,Hungary,Midfielder
david_preu,David Preu,10/26/04,21,Germany,Midfielder
ilyas_ansah,Ilyas Ansah,11/8/04,21,Germany,Forward
dmytro_bogdanov,Dmytro Bogdanov,3/6/07,19,Ukraine,Forward
livan_burcu,Livan Burcu,9/28/04,21,Turkey,Forward
oliver_burke,Oliver Burke,4/7/97,29,Scotland,Forward
linus_guther,Linus Guther,4/8/10,16,Germany,Forward
andrej_ilic,Andrej Ilic,4/3/00,26,Serbia,Forward
tim_skarke,Tim Skarke,9/7/96,29,Germany,Forward
robert_skov,Robert Skov,5/20/96,30,Denmark,Forward
moritz_nicolas,Moritz Nicolas,10/21/97,28,Germany,Goalkeeper
jan_olschowsky,Jan Olschowsky,11/18/01,24,Germany,Goalkeeper
tiago_pereira_cardoso,Tiago Pereira Cardoso,4/7/06,20,Luxembourg,Goalkeeper
tobias_sippel,Tobias Sippel,3/22/88,38,Germany,Goalkeeper
fabio_cristian_chiarodia,Fabio Cristian Chiarodia,6/5/05,20,Italy,Defender
kevin_diks,Kevin Diks,10/6/96,29,Indonesia,Defender
nico_elvedi,Nico Elvedi,9/30/96,29,Switzerland,Defender
marvin_friedrich,Marvin Friedrich,12/13/95,30,Germany,Defender
joe_scally,Joe Scally,12/31/02,23,USA,Defender
veit_stange,Veit Stange,2/8/04,22,Germany,Defender
kota_takai,Kota Takai,9/4/04,21,Japan,Defender
lukas_ullrich,Lukas Ullrich,3/16/04,22,Germany,Defender
simon_walde,Simon Walde,1/4/05,21,Germany,Defender
hugo_bolin,Hugo Bolin,7/24/03,22,Sweden,Midfielder
jens_castrop,Jens Castrop,7/29/03,22,South Korea,Midfielder
yannik_engelhardt,Yannik Engelhardt,2/7/01,25,Germany,Midfielder
wael_mohya,Wael Mohya,12/31/08,17,Germany,Midfielder
florian_neuhaus,Florian Neuhaus,3/16/97,29,Germany,Midfielder
rocco_reitz,Rocco Reitz,5/29/02,23,Germany,Midfielder
giovanni_reyna,Giovanni Reyna,11/13/02,23,USA,Midfielder
philipp_sander,Philipp Sander,2/21/98,28,Germany,Midfielder
kevin_stoger,Kevin Stoger,8/27/93,32,Austria,Midfielder
niklas_swider,Niklas Swider,1/5/07,19,Germany,Midfielder
fritz_fleck,Fritz Fleck,5/30/07,18,Germany,Forward
robin_hack,Robin Hack,8/27/98,27,Germany,Forward
franck_honorat,Franck Honorat,8/11/96,29,France,Forward
tim_kleindienst,Tim Kleindienst,8/31/95,30,Germany,Forward
shuto_machino,Shuto Machino,9/30/99,26,Japan,Forward
alejo_sarco,Alejo Sarco,1/6/06,20,Argentina,Forward
haris_tabakovic,Haris Tabakovic,6/20/94,31,Bosnia and Herzegovina,Forward
jan_urbich,Jan Urbich,6/23/04,21,Germany,Forward
hannes_hermann,Hannes Hermann,3/23/05,21,Germany,Goalkeeper
daniel_heuer_fernandes,Daniel Heuer Fernandes,11/13/92,33,Portugal,Goalkeeper
sander_tangvik,Sander Tangvik,11/29/02,23,Norway,Goalkeeper
giorgi_gocholeishvili,Giorgi Gocholeishvili,2/14/01,25,Georgia,Defender
noah_katterbach,Noah Katterbach,4/13/01,25,Germany,Defender
louis_lemke,Louis Lemke,10/8/09,16,Germany,Defender
william_mikelbrencis,William Mikelbrencis,2/25/04,22,France,Defender
miro_muheim,Miro Muheim,3/24/98,28,Switzerland,Defender
shafiq_nandja,Shafiq Nandja,1/15/07,19,Germany,Defender
warmed_omari,Warmed Omari,4/23/00,26,Comoros,Defender
alexander_rossing_lelesiit,Alexander Rossing-Lelesiit,1/20/07,19,Norway,Defender
jordan_torunarigha,Jordan Torunarigha,8/7/97,28,Nigeria,Defender
luka_vuskovic,Luka Vuskovic,2/24/07,19,Croatia,Defender
nicolas_capaldo,Nicolas Capaldo,9/14/98,27,Argentina,Midfielder
daniel_elfadli,Daniel Elfadli,4/6/97,29,Libya,Midfielder
albert_gronbaek,Albert Gronbaek,5/23/01,25,Denmark,Midfielder
albert_sambi_lokonga,Albert Sambi Lokonga,10/22/99,26,Belgium,Midfielder
omar_megeed,Omar Megeed,8/19/05,20,Egypt,Midfielder
nicolai_remberg,Nicolai Remberg,6/19/00,25,Germany,Midfielder
fabio_vieira,Fabio Vieira,5/30/00,25,Portugal,Midfielder
fabio_balde,Fabio Balde,7/20/05,20,Portugal,Forward
jean_luc_dompe,Jean-Luc Dompe,8/12/95,30,France,Forward
damion_downs,Damion Downs,7/6/04,21,USA,Forward
robert_glatzel,Robert Glatzel,1/8/94,32,Germany,Forward
bakery_jatta,Bakery Jatta,6/6/98,27,Gambia,Forward
ransford_konigsdorffer,Ransford Konigsdorffer,9/13/01,24,Ghana,Forward
philip_otele,Philip Otele,4/15/99,27,Nigeria,Forward
rayan_philippe,Rayan Philippe,10/23/00,25,France,Forward
yussuf_poulsen,Yussuf Poulsen,6/15/94,31,Denmark,Forward
otto_stange,Otto Stange,2/9/07,19,Germany,Forward
matthias_kobbing,Matthias Kobbing,5/28/97,29,Germany,Goalkeeper
marvin_schwabe,Marvin Schwabe,4/25/95,31,Germany,Goalkeeper
ron_robert_zieler,Ron-Robert Zieler,2/12/89,37,Germany,Goalkeeper
dominique_heintz,Dominique Heintz,8/15/93,32,Germany,Defender
kristoffer_lund,Kristoffer Lund,5/14/02,24,USA,Defender
cenk_ozkacar,Cenk Ozkacar,10/6/00,25,Turkey,Defender
joel_schmied,Joel Schmied,9/23/98,27,Switzerland,Defender
sebastian_sebulonsen,Sebastian Sebulonsen,1/27/00,26,Norway,Defender
jahmai_simpson_pusey,Jahmai Simpson-Pusey,11/4/05,20,England,Defender
rav_van_den_berg,Rav van den Berg,7/7/04,21,Netherlands,Defender
alessio_castro_montes,Alessio Castro-Montes,5/17/97,29,Belgium,Midfielder
felipe_chavez,Felipe Chavez,4/10/07,19,Peru,Midfielder
said_el_mala,Said El Mala,8/26/06,19,Germany,Midfielder
denis_huseinbasic,Denis Huseinbasic,7/3/01,24,Bosnia and Herzegovina,Midfielder
isak_johannesson,Isak Johannesson,3/23/03,23,Iceland,Midfielder
florian_kainz,Florian Kainz,10/24/92,33,Austria,Midfielder
jakub_kaminski,Jakub Kaminski,6/5/02,23,Poland,Midfielder
tom_krauss,Tom Krauss,6/22/01,24,Germany,Midfielder
eric_martel,Eric Martel,4/29/02,24,Germany,Midfielder
fynn_schenten,Fynn Schenten,9/14/07,18,Germany,Midfielder
ragnar_ache,Ragnar Ache,7/28/98,27,Germany,Forward
marius_bulter,Marius Bulter,3/29/93,33,Germany,Forward
linton_maina,Linton Maina,6/23/99,26,Germany,Forward
cenny_neumann,Cenny Neumann,1/12/07,19,Germany,Forward
jan_thielmann,Jan Thielmann,5/26/02,24,Germany,Forward
luca_waldschmidt,Luca Waldschmidt,5/19/96,30,Germany,Forward
mio_backhaus,Mio Backhaus,4/16/04,22,Germany,Goalkeeper
karl_hein,Karl Hein,4/13/02,24,Estonia,Goalkeeper
felix_agu,Felix Agu,9/27/99,26,Nigeria,Defender
karim_coulibaly,Karim Coulibaly,5/23/07,19,Germany,Defender
